"Barbra Streisand","Comin' In And Out Of Your Life"
"Barry Manilow","Can't Smile Without You"
"Barry Manilow","Could It Be Magic"
"Barry Manilow","I Made It Through The Rain"
"Barry Manilow","I Write The Songs"
"Barry Manilow","Looks Like We Made It"
"Barry Manilow",Mandy
"Barry Manilow","Somewhere In The Night"
"Barry Manilow","Tryin' To Get The Feeling Again"
"Barry Manilow","Weekend In New England"
"Bay City Rollers","Money Honey"
"Bay City Rollers","Saturday Night"
"Bee Gees","Love So Right"
"Belinda Carlisle","Heaven Is A Place On Earth"
"Bell Biv DeVoe","Do Me!"
"Bell Biv DeVoe",Poison
"Bellamy Brothers","Let Your Love Flow"
"Ben E. King","Spanish Harlem"
"Ben E. King","Stand By Me"
"Ben E. King","Stand by Me"
Berlin,"Take My Breath Away"
"Beyoncé","Baby Boy"
"Beyoncé","Beautiful Liar"
"Beyoncé","Check On It"
"Beyoncé","Crazy In Love"
"Beyoncé",Diva
"Beyoncé",Halo
"Beyoncé","If I Were A Boy"
"Beyoncé",Irreplaceable
"Beyoncé","Naughty Girl"
"Beyoncé","Sweet Dreams"
"Big Bopper","Chantilly Lace"
"Big Mountain","Baby I Love Your Way"
"Bill Withers","Ain't No Sunshine"
"Bill Withers","Lean On Me"
"Bill Withers","Use Me"
"Billy Idol","Eyes Without A Face"
"Billy Idol","Hot In The City"
"Billy Idol","To Be A Lover"
"Billy Joel",Allentown
"Billy Joel","An Innocent Man"
"Billy Joel","I Go To Extremes"
"Billy Joel","It's Still Rock And Roll To Me"
"Billy Joel","We Didn't Start The Fire"
"Billy Paul","Me And Mrs. Jones"
"Billy Preston","Nothing from Nothing"
"Billy Preston","Will It Go Round In Circles"
"Billy Ray Cyrus","Achy Breaky Heart"
"Billy Squier","The Stroke"
"Billy Swan","I Can Help"
"Bing Crosby","Dear Hearts And Gentle People"
"Biz Markie","Just A Friend"
"Black Eyed Peas","Boom Boom Pow"
"Black Eyed Peas","Don't Lie"
"Black Eyed Peas","Hey Mama"
"Black Eyed Peas","I Gotta Feeling"
"Black Eyed Peas","Imma Be"
"Black Eyed Peas","Let's Get It Started"
"Black Eyed Peas","My Humps"
"Black Eyed Peas","Pump It"
"Blessid Union Of Souls","I Believe"
Blondie,"Call Me"
Blondie,"Heart Of Glass"
Blondie,Rapture
Blondie,"The Tide Is High"
"Blue Cheer","Summertime Blues"
"Blue Magic",Sideshow
"Blue October","Hate Me"
"Blue Swede","Hooked On A Feeling"
"Blues Traveler",Hook
BoDeans,"Closer To Free"
"Bob Dylan","Like A Rolling Stone"
"Bobby Brown","Don't Be Cruel"
"Bobby Brown","Every Little Step"
"Bobby Brown","Humpin' Around"
"Bobby Brown","My Prerogative"
"Bobby Brown","Rock Wit'cha"
"Bobby Brown",Roni
"Bobby Darin","Beyond the Sea"
"Bobby Darin","Dream Lover"
"Bobby Darin","If I Were A Carpenter"
"Bobby Darin","Mack The Knife"
"Bobby Darin","Mack the Knife"
"Bobby Darin","Queen of the Hop"
"Bobby Fuller Four","I Fought The Law"
"Bobby Rydell","Good Time Baby"
"Bobby Rydell","I'll Never Dance Again"
"Bobby Rydell","Kissin' Time"
"Bobby Rydell","Little Bitty Girl"
"Bobby Rydell","Swingin' School"
"Bobby Rydell",Volare
"Bobby Rydell","Wild One"
"Bobby Vinton","Blue On Blue"
"Bobby Vinton","Blue Velvet"
"Bobby Vinton","Sealed With A Kiss"
"Bobby Vinton","There! I've Said It Again"
"Bobby Womack","Lookin' For A Love"
"Bon Jovi",Always
"Bon Jovi","Bad Medicine"
"Bon Jovi","Bed Of Roses"
"Bon Jovi","Born To Be My Baby"
"Bon Jovi","I'll Be There For You"
"Bon Jovi","Lay Your Hands On Me"
"Bon Jovi","Livin' On A Prayer"
"Bon Jovi","This Ain't A Love Song"
"Bon Jovi","Wanted Dead Or Alive"
"Bon Jovi","You Give Love A Bad Name"
"Bone Thugs-N-Harmony","Tha Crossroads"
"Bonnie Raitt","I Can't Make You Love Me"
"Bonnie Raitt","Something To Talk About"
"Bonnie Tyler","It's a Heartache"
"Bonnie Tyler","Total Eclipse Of The Heart"
"Bonnie Tyler","Total Eclipse of The Heart"
"Bonnie Tyler","Total Eclipse of the Heart"
Boston,Amanda
Boston,"Don't Look Back"
"Bow Wow","Like You"
"Bow Wow","Outta My System"
"Boys Like Girls","Love Drunk"
"Boys Like Girls","The Great Escape"
"Boyz II Men","4 Seasons Of Loneliness"
"Boyz II Men","A Song For Mama"
"Boyz II Men","End Of The Road"
"Boyz II Men","I'll Make Love To You"
"Boyz II Men","It's So Hard To Say Goodbye To Yesterday"
"Boyz II Men",Motownphilly
"Boyz II Men","On Bended Knee"
"Boyz II Men","Thank You"
"Boyz II Men","Uhh Ahh"
"Boyz II Men","Water Runs Dry"
"Boz Scaggs","Breakdown Dead Ahead"
"Boz Scaggs","Lido Shuffle"
"Boz Scaggs",Lowdown
"Boz Scaggs","Miss Sun"
"Brad Paisley",Then
Brandy,"Sittin' Up In My Room"
Bread,"Everything I Own"
Bread,If
Bread,"Make It With You"
"Breakfast Club","Right On Track"
Breathe,"Hands To Heaven"
"Brenda Lee","Break It To Me Gently"
"Brenda Lee","Everybody Loves Me But You"
"Brenda Lee","I'm Sorry"
"Brenda Lee","Losing You"
"Brenda Lee","Sweet Nothin's"
"Brenda Lee","That's All You Gotta Do"
"Brian McKnight","Back At One"
Brick,Dazz
"Britney Spears","...Baby One More Time"
"Britney Spears",3
"Britney Spears",Circus
"Britney Spears",Everytime
"Britney Spears","From The Bottom Of My Broken Heart"
"Britney Spears","If U Seek Amy"
"Britney Spears","Piece Of Me"
"Britney Spears",Sometimes
"Britney Spears",Toxic
"Britney Spears",Womanizer
"Brook Benton","It's Just A Matter Of Time"
"Brook Benton",Kiddio
"Brook Benton","The Boll Weevil Song"
"Brook Benton","The boll weevil song"
"Brook Benton","Think Twice"
"Brotherhood Of Man","United We Stand"
Brownstone,"If You Love Me"
"Bruce Hornsby and the Range","Mandolin Rain"
"Bruce Hornsby and the Range","The Way It Is"
"Bruce Springsteen","Brilliant Disguise"
"Bruce Springsteen","Hungry Heart"
"Bruce Springsteen","I'm On Fire"
"Bruce Springsteen","Secret Garden"
"Bruce Springsteen","Streets Of Philadelphia"
"Bruce Willis","Respect Yourself"
"Bryan Adams","Do I Have To Say The Words?"
"Bryan Adams","Heat Of The Night"
"Bryan Adams",Heaven
"Bryan Adams","Please Forgive Me"
"Bryan Adams","Run To You"
"Bryan Adams","Straight From The Heart"
"Bryan Adams","Summer Of '69"
"Buddy Holly","Peggy Sue"
"Buffalo Springfield","For What It's Worth"
"Burton Cummings","Stand Tall"
Cameo,"Word Up"
"Candi Staton","Young Hearts Run Free"
"Captain Hollywood Project","More And More"
"Captain Hollywood Project","More and More"
"Carl Douglas","Kung Fu Fighting"
"Carl Perkins","Blue Suede Shoes"
"Carly Simon",Anticipation
"Carly Simon",Mockingbird
"Carly Simon","Nobody Does It Better"
"Carly Simon","You Belong To Me"
"Carly Simon","You're So Vain"
Carpenters,"(They Long To Be) Close To You"
Carpenters,"For All We Know"
Carpenters,"Hurting Each Other"
Carpenters,"Please Mr. Postman"
Carpenters,"Rainy Days And Mondays"
Carpenters,Sing
Carpenters,Superstar
Carpenters,"We've Only Just Begun"
Carpenters,"Yesterday Once More"
"Carrie Underwood","Undo It"
"CeCe Peniston",Finally
"CeCe Peniston","Keep On Walkin'"
"Chairmen Of The Board","Give Me Just A Little More Time"
Chamillionaire,"Ridin'"
"Cheap Trick","I Want You To Want Me"
"Cheap Trick","The Flame"
Cher,"Dark Lady"
Cher,"I Found Someone"
Cher,"If I Could Turn Back Time"
Cher,"Just Like Jesse James"
Cher,"The Way Of Love"
"Cheryl Lynn","Got To Be Real"
"Chesney Hawkes","The One And Only"
Chic,"Good Times"
Chic,"Le Freak"
Chicago,"25 Or 6 To 4"
Chicago,"25 or 6 to 4"
Chicago,"If You Leave Me Now"
Chordettes,"Born To Be With You"
Chordettes,"Lay Down Your Arms"
Chordettes,Lollipop
Christie,"Yellow River"
"Christina Aguilera","Ain't No Other Man"
"Christina Aguilera",Beautiful
"Christina Aguilera",Fighter
"Christina Aguilera","Genie In A Bottle"
"Christina Aguilera","I Turn To You"
"Christina Aguilera","What A Girl Wants"
"Christina Milian","Dip It Low"
"Chubby Checker","Pony Time"
"Chubby Checker","The Fly"
"Chubby Checker","The Twist"
"Chuck Berry","Johnny B Goode"
"Chuck Berry","My Ding-A-Ling"
"Chuck Berry","Rock And Roll Music"
"Chuck Berry","Sweet Little Sixteen"
"Chuck Willis","C.C. Rider"
"Chuck Willis","What Am I Living for"
Chumbawamba,Tubthumping
Ciara,"Get Up"
Coasters,"Charlie Brown"
Coasters,"Searchin'"
Coasters,"Yakety Yak"
Coasters,"Young Blood"
"Colbie Caillat",Bubbly
"Colbie Caillat","Fallin' For You"
"Colbie Caillat",Realize
Coldplay,Clocks
Coldplay,"Speed Of Sound"
"Collective Soul",December
"Collective Soul","The World I Know"
"Commander Cody And His Lost Planet Airmen","Hot Rod Lincoln"
Commodores,Easy
Commodores,Nightshift
Commodores,"Oh No"
Commodores,"Sail On"
Commodores,Still
Commodores,"Sweet Love"
Commodores,"Three Times A Lady"
"Connie Francis","Everybody's Somebody's Fool"
"Connie Francis",Frankie
"Connie Francis","Lipstick On Your Collar"
"Connie Francis",Mama
"Connie Francis","Who's Sorry Now"
"Corey Hart","Never Surrender"
"Corey Hart","Sunglasses At Night"
"Craig David","7 Days"
"Crash Test Dummies","Mmm Mmm Mmm Mmm"
"Crazy Town",Butterfly
"Creedence Clearwater Revival","Bad Moon Rising"
"Creedence Clearwater Revival","Green River"
"Creedence Clearwater Revival","Proud Mary"
"Crowded House","Don't Dream It's Over"
"Crowded House","Something So Strong"
"Crystal Gayle","Don't It Make My Brown Eyes Blue"
"Culture Club","Church Of The Poison Mind"
"Culture Club","Do You Really Want To Hurt Me"
"Culture Club","I'll Tumble 4 Ya"
"Cutting Crew","(I Just) Died In Your Arms"
"Cutting Crew","I've Been In Love Before"
"Cyndi Lauper","All Through The Night"
"Cyndi Lauper","Girls Just Want To Have Fun"
"Cyndi Lauper","SHE BOP"
"Cyndi Lauper","She Bop"
"Cyndi Lauper","True Colors"
"Cypress Hill","Insane In The Brain"
"Céline Dion","A New Day Has Come"
"Céline Dion","All By Myself"
"Céline Dion","Because You Loved Me"
"Céline Dion","If You Asked Me To"
"Céline Dion","It's All Coming Back To Me Now"
"Céline Dion","My Heart Will Go On"
"Céline Dion","The Power Of Love"
"Céline Dion","Where Does My Heart Beat Now"
"DAVE MATTHEWS BAND","The Space Between"
DMX,"Party Up"
"Dan Fogelberg","Leader Of The Band"
"Dan Fogelberg","Leader of The Band"
"Dan Fogelberg",Longer
"Dan Fogelberg","Same Old Lang Syne"
"Dan Hartman","I Can Dream About You"
"Daniel Bedingfield","Gotta Get Thru This"
"Daniel Bedingfield","If You're Not The One"
"Daniel Powter","Bad Day"
"Danny Williams","White On White"
"Das EFX","They Want EFX"
Daughtry,"Feels Like Tonight"
Daughtry,Home
Daughtry,"It's Not Over"
Daughtry,"Life After You"
Daughtry,"No Surprise"
"David Banner",Play
"David Bowie","Let's Dance"
"David Cook","The Time Of My Life"
"David Essex","Rock On"
"David Houston","Almost Persuaded"
"David Ruffin","Walk Away From Love"
"David Seville and The Chipmunks","The Chipmunk Song"
Dawn,Candida
"Dazz Band","Let It Whip"
"Dazz Band","Let it Whip"
DeBarge,"Rhythm Of The Night"
"Dean Martin","Memories Are Made Of This"
"Dean Martin","That's Amore"
Deee-Lite,"Groove Is In The Heart"
"Deep Blue Something","Breakfast At Tiffany's"
"Deep Purple","Smoke On The Water"
"Del Shannon","Hats Off To Larry"
"Del Shannon","Hats Off to Larry"
"Del Shannon","Keep Searchin'"
"Del Shannon","Little Town Flirt"
"Del Shannon",Runaway
"Deniece Williams","Let's Hear It For The Boy"
"Depeche Mode","Enjoy The Silence"
"Depeche Mode","Enjoy the Silence"
"Des'ree","You Gotta Be"
"Destiny's Child",Bootylicious
"Destiny's Child","Cater 2 U"
"Destiny's Child","Say My Name"
"Destiny's Child",Survivor
"Dexy's Midnight Runners","Come On Eileen"
"Diana King","Shy Guy"
"Diana Ross","Ain't No Mountain High Enough"
"Diana Ross","Love Hangover"
"Diana Ross","Touch Me In The Morning"
"Diana Ross","Upside Down"
"Dierks Bentley","What Was I Thinkin'"
"Dionne Warwick","Anyone Who Had a Heart"
"Dionne Warwick","Deja Vu"
"Dionne Warwick","This Girl's In Love With You"
"Dionne Warwick","Walk On By"
"Dire Straits","Walk Of Life"
Divinyls,"I Touch Myself"
"Dixie Chicks","Cowboy Take Me Away"
"Dixie Chicks",Landslide
"Dixie Chicks","Long Time Gone"
"Dj Sammy",Heaven
"Dobie Gray","Drift Away"
"Dolly Parton","9 To 5"
"Dolly Parton","9 to 5"
"Dolly Parton","Here You Come Again"
"Don Gibson","Oh Lonesome Me"
"Don Gibson","Sea Of Heartbreak"
"Don Gibson","Sea of Heartbreak"
"Don Henley","All She Wants To Do Is Dance"
"Don McLean",Crying
"Donell Jones","U Know What's Up"
"Donell Jones","Where I Wanna Be"
"Donny Osmond","Puppy Love"
"Donny Osmond","Soldier Of Love"
"Donny Osmond","The Twelfth Of Never"
"Doris Day","If I Give My Heart To You"
"Doris Day","Secret Love"
"Doris Troy","Just One Look"
"Dr. Dre","Nuthin' But A ""G"" Thang"
"Dr. Dre","The Next Episode"
"Dr. Hook","A Little Bit More"
"Dr. Hook","Better Love Next Time"
"Dr. Hook","Sharing The Night Together"
"Dr. Hook","When You're In Love With A Beautiful Woman"
"Dusty Springfield","Wishin' And Hopin'"
EMF,Unbelievable
"Eagle-Eye Cherry","Save Tonight"
"Eartha Kitt","C'est Si Bon"
"Eddie Cochran","Summertime Blues"
"Eddie Kendricks","Boogie Down"
"Eddie Kendricks","Keep On Truckin'"
"Eddie Money","Baby Hold On"
"Eddie Money","Take Me Home Tonight"
"Eddie Money","Walk On Water"
"Eddie Murphy","Party All The Time"
"Eddie Rabbitt","Drivin' My Life Away"
"Eddie Rabbitt",Suspicions
"Eddy Grant","Electric Avenue"
"Edison Lighthouse","Love Grows"
"Edwin McCain","I'll Be"
"Edwin Starr","Twenty-Five Miles"
"Edwin Starr",War
"Electric Light Orchestra","Can't Get It Out Of My Head"
"Electric Light Orchestra","Don't Bring Me Down"
"Electric Light Orchestra","Evil Woman"
"Electric Light Orchestra","SHINE A LITTLE LOVE"
"Electric Light Orchestra","Shine A Little Love"
"Electric Light Orchestra","Sweet Talking Woman"
"Electric Light Orchestra","Telephone Line"
"Electric Light Orchestra","Turn To Stone"
"Elton John",Believe
"Elton John","Candle In The Wind"
"Elton John","Crocodile Rock"
"Elton John","Goodbye Yellow Brick Road"
"Elton John","I Guess That's Why They Call It The Blues"
"Elton John","Philadelphia Freedom"
"Elton John","Someone Saved My Life Tonight"
"Elvin Bishop","Fooled Around And Fell In Love"
"Elvis Presley","(Now And Then There's) A Fool Such As I"
"Elvis Presley","(You're The) Devil In Disguise"
"Elvis Presley","A Big Hunk O' Love"
"Elvis Presley","All shook up"
"Elvis Presley","Bossa Nova Baby"
"Elvis Presley","Can't Help Falling In Love"
"Elvis Presley","Don't Be Cruel"
"Elvis Presley","Hound Dog"
"Elvis Presley","I Got Stung"
"Elvis Presley","I Need Your Love Tonight"
"Elvis Presley","In The Ghetto"
"Elvis Presley","Jailhouse Rock"
"Elvis Presley","Love Me Tender"
"Elvis Presley","Loving You"
"Elvis Presley","One Night"
"Elvis Presley",Surrender
"Elvis Presley","Suspicious Minds"
Eminem,"Cleanin' Out My Closet"
Eminem,"Just Lose It"
Eminem,"Lose Yourself"
Eminem,Mockingbird
Eminem,"Sing For The Moment"
Eminem,"The Real Slim Shady"
Eminem,"When I'm Gone"
Eminem,"Without Me"
"En Vogue","Free Your Mind"
"Engelbert Humperdinck","After The Lovin'"
"Engelbert Humperdinck","Release Me"
Enigma,"Return To Innocence"
"Enrique Iglesias",Bailamos
"Enrique Iglesias","Be With You"
"Enrique Iglesias","Be with You"
"Enrique Iglesias",Escape
"Enrique Iglesias",Hero
"Eric Burdon","Spill The Wine"
"Eric Carmen","All By Myself"
"Eric Clapton","I Shot The Sheriff"
"Eric Clapton","Lay Down Sally"
"Eric Clapton","Tears In Heaven"
"Erykah Badu","Bag Lady"
Eurythmics,"Here Comes The Rain Again"
Eurythmics,"Would I Lie To You?"
Evanescence,"Bring Me To Life"
Evanescence,"Call Me When You're Sober"
Evanescence,"My Immortal"
"Eve 6","Here's To The Night"
"Evelyn ""Champagne"" King",Shame
Everclear,Wonderful
"Everly Brothers","Bye Bye Love"
"Everly Brothers","Let It Be Me"
"Everly Brothers",Problems
"Everly Brothers","Take A Message To Mary"
"Everly Brothers","Wake Up Little Susie"
"Everly Brothers","When Will I Be Loved"
"Everything But The Girl",Missing
Exile,"Kiss You All Over"
Extreme,"Hole Hearted"
Extreme,"More Than Words"
"Faith No More",Epic
"Fall Out Boy","Thnks fr th Mmrs"
"Fats Domino","Blue Monday"
"Fats Domino","Let The Four Winds Blow"
"Fats Domino","Walking To New Orleans"
Fergie,"Big Girls Don't Cry"
Fergie,Clumsy
Fergie,"London Bridge"
"Ferlin Husky",Gone
"Ferlin Husky","Wings Of A Dove"
Filter,"Take A Picture"
"Fine Young Cannibals","Good Thing"
"Fine Young Cannibals","She Drives Me Crazy"
"Finger Eleven","One Thing"
"Finger Eleven",Paralyzer
Firehouse,"I Live My Life For You"
Firehouse,"Love Of A Lifetime"
Firehouse,"When I Look Into Your Eyes"
"First Class","Beach Baby"
Five,"When The Lights Go Out"
Floetry,"Say Yes"
Foghat,"Slow Ride"
"Foo Fighters","Best Of You"
Foreigner,"Hot Blooded"
Foreigner,"I Want To Know What Love Is"
Foreigner,"Waiting For A Girl Like You"
Foxy,"Get Off"
"Frank Chacksfield","Ebb Tide"
"Frank Sinatra","Learnin' The Blues"
"Frank Sinatra","Young at heart"
"Frankie J","Don't Wanna Try"
"Frankie Laine","Cry Of The Wild Goose"
"Frankie Laine","High Noon"
"Frankie Laine","I Believe"
"Frankie Laine",Jezebel
"Frankie Laine","Moonlight Gambler"
"Freda Payne","Band Of Gold"
"Freda Payne","Band of Gold"
"Freda Payne","Bring The Boys Home"
"Frijid Pink","House Of The Rising Sun"
Gabrielle,Dreams
"Gary Numan",Cars
"Gary U.S. Bonds","Dear Lady Twist"
"Gary U.S. Bonds","This Little Girl"
"Gavin DeGraw",Chariot
"Gavin DeGraw","I Don't Want To Be"
"Gavin Rossdale","Love Remains The Same"
"Gene Chandler","Duke Of Earl"
"Gene Chandler","Duke of Earl"
"Gene Chandler","Groovy Situation"
"Gene Pitney","The Man Who Shot Liberty Valance"
"Gene Pitney","Town Without Pity"
"Gene Vincent",Be-Bop-A-Lula
"Gene Vincent",Be-Bop-a-Lula
"Gene Vincent","Lotta Lovin'"
"George McCrae","Rock Your Baby"
"George Michael","A Different Corner"
"George Michael",Fastlove
"George Michael","Father Figure"
"George Michael","I Want Your Sex"
"George Michael","Kissing A Fool"
"George Michael",Monkey
"George Michael","One More Try"
"George Michael","Praying For Time"
"George Michael","Too Funky"
"Georgia Satellites","Keep Your Hands To Yourself"
"Gerry Rafferty","Baker Street"
"Gilbert O'Sullivan",Clair
"Gin Blossoms","Found Out About You"
"Gin Blossoms","Hey Jealousy"
"Gino Vannelli","I Just Wanna Stop"
"Gino Vannelli","Living Inside Myself"
Ginuwine,Differences
Ginuwine,"Hell Yeah"
Ginuwine,"In Those Jeans"
Ginuwine,Pony
Ginuwine,"So Anxious"
"Glen Campbell",Galveston
"Glen Campbell","It's Only Make Believe"
"Glen Campbell","Rhinestone Cowboy"
"Glen Campbell","Southern Nights"
"Gloria Estefan","Here We Are"
"Gloria Gaynor","I Will Survive"
"Gloria Gaynor","Never Can Say Goodbye"
"Go West",Faithful
"Go West","King Of Wishful Thinking"
"Go-Go's","Our Lips Are Sealed"
"Go-Go's","We Got The Beat"
"Golden Earring","Radar Love"
"Golden Earring","Twilight Zone"
"Gordon Lightfoot","If You Could Read My Mind"
"Gretchen Wilson","Redneck Woman"
"Guns N' Roses","November Rain"
"Guns N' Roses","Paradise City"
"Guns N' Roses",Patience
"Guns N' Roses","Sweet Child O' Mine"
"Gwen Stefani",Cool
"Gwen Stefani","Hollaback Girl"
"Gwen Stefani","Wind It Up"
Haddaway,"What Is Love"
Hanson,"I WILL COME TO YOU"
Hanson,"I Will Come To You"
Hanson,MMMBOP
Hanson,MMMBop
"Harry Belafonte","Jamaica Farewell"
Heart,Alone
Heart,Barracuda
Heart,Never
Heart,"Tell It Like It Is"
Heart,"These Dreams"
"Helen Reddy","Angie Baby"
"Helen Reddy","Delta Dawn"
"Helen Reddy","I Don't Know How To Love Him"
"Helen Reddy",Peaceful
"Helen Reddy","You And Me Against The World"
"Helen Reddy","You're My World"
"Henry Mancini","Days Of Wine And Roses"
"Herb Alpert","This Guy's In Love With You"
"Herman's Hermits",Dandy
"Herman's Hermits","Mrs. Brown You've Got A Lovely Daughter"
Hinder,"Better Than Me"
Hinder,"Lips Of An Angel"
Hoobastank,"The Reason"
"Hot Chocolate","Every 1's A Winner"
"Hot Chocolate","You Sexy Thing"
"Howard Jones","No One Is To Blame"
"Howard Jones","No One Is to Blame"
"Howard Jones","Things Can Only Get Better"
"Howie Day",Collide
"Hues Corporation","Rock The Boat"
"Huey Lewis And The News","Do You Believe In Love"
"Huey Lewis And The News","Doing It All For My Baby"
"Huey Lewis And The News","Hip To Be Square"
"Huey Lewis And The News","Stuck With You"
"Huey Lewis And The News","The Power Of Love"
"Ice Cube","It Was A Good Day"
"Ides Of March",Vehicle
"Ike And Tina Turner","It's Gonna Work Out Fine"
Incubus,Drive
"Ini Kamoze","Here Comes The Hotstepper"
"Irene Cara",Fame
"Irene Cara","Flashdance... What A Feeling"
"Isaac Hayes","Don't Let Go"
Iyaz,Replay
"J. Geils Band",Centerfold
"J. Holiday",Bed
"J. Holiday",Suffocate
"Jackie DeShannon","Put A Little Love In Your Heart"
"Jackie Wilson","Lonely Teardrops"
"Jackson 5",ABC
"Jackson 5","Dancing Machine"
"Jackson 5","I Want You Back"
"Jackson 5","I'll Be There"
"Jackson 5","Mama's Pearl"
"Jackson 5","Never Can Say Goodbye"
"Jackson 5","The Love You Save"
"Jagged Edge",Promise
"James Blunt","You're Beautiful"
"James Brown","Cold Sweat"
"James Brown","I Got The Feelin'"
"James Brown","Living In America"
"James Taylor","Fire And Rain"
"James Taylor","Handy Man"
"James Taylor","How Sweet It Is"
"James Taylor","You've Got A Friend"
"Jamie Foxx","Blame It"
"Jamie Foxx",Unpredictable
"Janet Jackson",Again
"Janet Jackson",Alright
"Janet Jackson","Because Of Love"
"Janet Jackson","Come Back To Me"
"Janet Jackson",If
"Janet Jackson",Nasty
"Janet Jackson","What Have You Done For Me Lately"
